ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
maloh-1_hand-1-1,maloh-1_hand-1,t.a.ŋ.a.n,155,false,expert,Greenhill2008,,,
merinamalagasy-1_hand-1-1,merinamalagasy-1_hand-1,t.a.n.a.n.a,155,false,expert,Greenhill2008,,,
thao-1_hand-1-1,thao-1_hand-1,r.i.m.a,446,false,expert,Greenhill2008,,,
palauan-1_hand-1-1,palauan-1_hand-1,cʰ.i.m,446,false,expert,Greenhill2008,,,
tunjung-1_hand-1-1,tunjung-1_hand-1,a.ŋ.a.ʔ,155,false,expert,Greenhill2008,,,
baree-1_hand-1-1,baree-1_hand-1,p.a.l.e,1484,false,expert,Greenhill2008,,,
iban-1_hand-1-1,iban-1_hand-1,t.a.ŋ.a.n,155,false,expert,Greenhill2008,,,
iban-1_hand-2-1,iban-1_hand-2,j.a.r.i,1556,false,expert,Greenhill2008,,,
berawanlongterawan-1_hand-1-1,berawanlongterawan-1_hand-1,t.i.s.u,481,false,expert,Greenhill2008,,,
berawanlongterawan-1_hand-2-1,berawanlongterawan-1_hand-2,i.s.u,481,false,expert,Greenhill2008,,,
hanunoo-1_hand-1-1,hanunoo-1_hand-1,k.a.m.a.ŋ,1796,false,expert,Greenhill2008,,,
wuna-1_hand-1-1,wuna-1_hand-1,l.i.m.a,446,false,expert,Greenhill2008,,,
tetum-1_hand-1-1,tetum-1_hand-1,l.i.m.a.n,446,false,expert,Greenhill2008,,,
mailu-1_hand-1-1,mailu-1_hand-1,i.m.a,446,false,expert,Greenhill2008,,,
tsou-1_hand-1-1,tsou-1_hand-1,m.u.c.u,350,false,expert,Greenhill2008,,,
nias-1_hand-1-1,nias-1_hand-1,t.a.ŋ.a,155,false,expert,Greenhill2008,,,
centralamis-1_hand-1-1,centralamis-1_hand-1,k.a.m.a.j,19,false,expert,Greenhill2008,,,
chamorro-1_hand-1-1,chamorro-1_hand-1,k.a.nː.a.i,2515,false,expert,Greenhill2008,,,
banoni-1_hand-1-1,banoni-1_hand-1,n.u.m.a,446,false,expert,Greenhill2008,,,
singhi-1_hand-1-1,singhi-1_hand-1,t.o.ŋ.a.n,155,false,expert,Greenhill2008,,,
maloh-2_left-1-1,maloh-2_left-1,k.a.j.o.k.o,1000,false,expert,Greenhill2008,,,
merinamalagasy-2_left-1-1,merinamalagasy-2_left-1,h.a.v.i.a,483,false,expert,Greenhill2008,,,
palauan-2_left-1-1,palauan-2_left-1,k.a.t.u.r,1253,false,expert,Greenhill2008,,,
tunjung-2_left-1-1,tunjung-2_left-1,u.l.a.j,645,false,expert,Greenhill2008,,,
baree-2_left-1-1,baree-2_left-1,k.a.iː,483,false,expert,Greenhill2008,,,
iban-2_left-1-1,iban-2_left-1,k.i.b.a.ʔ,560,false,expert,Greenhill2008,,,
berawanlongterawan-2_left-1-1,berawanlongterawan-2_left-1,p.ə.m.a.i.ŋ,645,false,expert,Greenhill2008,,,
moken-2_left-1-1,moken-2_left-1,ʔ.e.l.o.j,1702,false,expert,Greenhill2008,,,
hanunoo-2_left-1-1,hanunoo-2_left-1,w.a.l.a,159,false,expert,Greenhill2008,,,
wuna-2_left-1-1,wuna-2_left-1,k.e.m.a,98,false,expert,Greenhill2008,,,
tetum-2_left-1-1,tetum-2_left-1,k.a.r.u.k,1881,false,expert,Greenhill2008,,,
mailu-2_left-1-1,mailu-2_left-1,e.b.e,1934,false,expert,Greenhill2008,,,
tsou-2_left-1-1,tsou-2_left-1,v.r.i.n.a,483,false,expert,Greenhill2008,,,
nias-2_left-1-1,nias-2_left-1,k.a.b.e.r.a,2227,false,expert,Greenhill2008,,,
centralamis-2_left-1-1,centralamis-2_left-1,k.a.w.i.l.i,483,false,expert,Greenhill2008,,,
chamorro-2_left-1-1,chamorro-2_left-1,a.k.a.g.u.e,2516,false,expert,Greenhill2008,,,
banoni-2_left-1-1,banoni-2_left-1,t.o.r.o.r.o.n.a,2601,false,expert,Greenhill2008,,,
singhi-2_left-1-1,singhi-2_left-1,b.a.i.t,2743,false,expert,Greenhill2008,,,
banggi-2_left-1-1,banggi-2_left-1,k.u.i.k.i.w.a.ŋ,159,false,expert,Greenhill2008,,,
maloh-3_right-1-1,maloh-3_right-1,k.a.t.o,519,false,expert,Greenhill2008,,,
merinamalagasy-3_right-1-1,merinamalagasy-3_right-1,h.a.v.a.n.a.n.a,255,false,expert,Greenhill2008,,,
palauan-3_right-1-1,palauan-3_right-1,k.a.d.i.k.m,1254,false,expert,Greenhill2008,,,
tunjung-3_right-1-1,tunjung-3_right-1,t.a.u.ʔ,519,false,expert,Greenhill2008,,,
baree-3_right-1-1,baree-3_right-1,k.a.n.a,255,false,expert,Greenhill2008,,,
iban-3_right-1-1,iban-3_right-1,k.a.n.a.n,255,false,expert,Greenhill2008,,,
berawanlongterawan-3_right-1-1,berawanlongterawan-3_right-1,p.ə.ŋ.k.a.t.u.ʔ.o.h,519,false,expert,Greenhill2008,,,
moken-3_right-1-1,moken-3_right-1,n.a.n.aː.n,255,false,expert,Greenhill2008,,,
hanunoo-3_right-1-1,hanunoo-3_right-1,s.i.k.u.n,184,false,expert,Greenhill2008,,,
wuna-3_right-1-1,wuna-3_right-1,s.w.a.n.a,255,false,expert,Greenhill2008,,,
tetum-3_right-1-1,tetum-3_right-1,k.w.a.n.a,255,false,expert,Greenhill2008,,,
mailu-3_right-1-1,mailu-3_right-1,i.a.t.a,1935,false,expert,Greenhill2008,,,
tsou-3_right-1-1,tsou-3_right-1,v.h.o.n.a,255,false,expert,Greenhill2008,,,
